,tamanrasset,cardak,toledo,hail,minya
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,56.0,1.0
5,0.0,10.0,0.0,291.0,38.0
6,12.0,56.0,0.0,587.0,210.0
7,178.0,99.0,3.0,739.0,522.0
8,586.0,254.0,53.0,804.0,661.0
9,793.0,518.0,169.0,804.0,728.0
10,891.0,292.0,440.0,744.0,739.0
11,903.0,164.0,592.0,583.0,684.0
12,895.0,147.0,636.0,279.0,510.0
13,828.0,72.0,571.0,45.0,209.0
14,681.0,16.0,360.0,2.0,47.0
15,312.0,0.0,102.0,0.0,1.0
16,42.0,0.0,27.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,23.0,1.0
29,0.0,15.0,0.0,188.0,24.0
30,14.0,91.0,0.0,531.0,140.0
31,184.0,302.0,1.0,699.0,439.0
32,583.0,348.0,15.0,767.0,606.0
33,786.0,251.0,65.0,793.0,666.0
34,885.0,55.0,340.0,705.0,525.0
35,893.0,80.0,627.0,531.0,595.0
36,890.0,9.0,620.0,172.0,419.0
37,825.0,2.0,512.0,6.0,153.0
38,675.0,1.0,379.0,0.0,22.0
39,318.0,0.0,109.0,0.0,1.0
40,42.0,0.0,31.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,1.0,1.0
