,tamanrasset,cardak,toledo,hail,minya
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.274806,0.0
6,0.0,0.0,0.0,0.472574,0.268154
7,0.118317,0.09147,0.0,0.550521,0.483038
8,0.450179,0.380925,0.0,0.577416,0.549816
9,0.547335,0.473651,0.158797,0.577133,0.5690270000000001
10,0.58168,0.412982,0.390708,0.5528609999999999,0.565171
11,0.588481,0.269802,0.456224,0.478766,0.5309020000000001
12,0.580965,0.139898,0.464517,0.278464,0.433551
13,0.54555,0.0,0.421809,0.0,0.174261
14,0.447055,0.0,0.296692,0.0,0.0
15,0.19897,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.173359,0.0
30,0.0,0.0,0.0,0.452246,0.204417
31,0.101991,0.31798200000000004,0.0,0.537328,0.474722
32,0.441277,0.413927,0.0,0.566102,0.548112
33,0.540719,0.39334,0.0,0.569943,0.565493
34,0.5763,0.0,0.363494,0.543049,0.54787
35,0.58312,0.023132,0.457468,0.463632,0.524517
36,0.577617,0.0,0.461001,0.189409,0.419313
37,0.5419510000000001,0.0,0.412521,0.0,0.117069
38,0.442398,0.0,0.299581,0.0,0.0
39,0.2041,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0
