,csp1,csp2,csp3
0,0.000,0.000,0.000
1,0.000,0.000,0.000
2,0.000,0.000,0.000
3,0.000,0.000,0.000
4,0.000,0.000,0.000
5,0.000,0.000,0.000
6,0.000,0.000,0.000
7,21.060,9.056,0.000
8,263.805,96.755,0.000
9,434.037,245.351,26.837
10,518.277,120.591,171.912
11,531.398,44.248,270.085
12,519.964,20.565,295.433
13,451.715,0.000,240.853
14,304.444,0.000,106.809
15,62.079,0.000,0.000
16,0.000,0.000,0.000
17,0.000,0.000,0.000
18,0.000,0.000,0.000
19,0.000,0.000,0.000
20,0.000,0.000,0.000
21,0.000,0.000,0.000
22,0.000,0.000,0.000
23,0.000,0.000,0.000
24,0.000,0.000,0.000
25,0.000,0.000,0.000
26,0.000,0.000,0.000
27,0.000,0.000,0.000
28,0.000,0.000,0.000
29,0.000,0.000,0.000
30,0.000,0.000,0.000
31,18.766,96.031,0.000
32,257.264,144.047,0.000
33,425.005,98.728,0.000
34,510.026,0.000,123.588
35,520.726,1.851,286.832
36,514.079,0.000,285.821
37,447.110,0.000,211.211
38,298.619,0.000,113.541
39,64.904,0.000,0.000
40,0.000,0.000,0.000
41,0.000,0.000,0.000
42,0.000,0.000,0.000
43,0.000,0.000,0.000
44,0.000,0.000,0.000
45,0.000,0.000,0.000
46,0.000,0.000,0.000
47,0.000,0.000,0.000
48,0.000,0.000,0.000
49,0.000,0.000,0.000
50,0.000,0.000,0.000
51,0.000,0.000,0.000
52,0.000,0.000,0.000
53,0.000,0.000,0.000
54,0.000,0.000,0.000
55,23.159,63.446,0.000
56,263.962,209.424,0.000
57,433.093,235.748,27.271
58,517.377,226.750,177.088
59,528.250,64.664,274.942
60,517.085,7.796,298.652
61,453.117,0.000,242.008
62,308.549,0.000,111.134
63,72.015,0.000,0.000
64,0.000,0.000,0.000
65,0.000,0.000,0.000
66,0.000,0.000,0.000
67,0.000,0.000,0.000
68,0.000,0.000,0.000
69,0.000,0.000,0.000
70,0.000,0.000,0.000
71,0.000,0.000,0.000
72,0.000,0.000,0.000
73,0.000,0.000,0.000
74,0.000,0.000,0.000
75,0.000,0.000,0.000
76,0.000,0.000,0.000
77,0.000,0.000,0.000
78,0.000,0.000,0.000
79,19.292,92.428,0.000
80,256.401,139.391,0.000
81,417.480,196.698,0.000
82,512.304,141.624,31.460
83,521.470,0.000,168.520
84,515.514,0.000,258.951
85,431.111,0.000,247.533
86,292.485,0.000,119.340
87,73.923,0.000,0.000
88,0.000,0.000,0.000
89,0.000,0.000,0.000
90,0.000,0.000,0.000
91,0.000,0.000,0.000
92,0.000,0.000,0.000
93,0.000,0.000,0.000
94,0.000,0.000,0.000
95,0.000,0.000,0.000
96,0.000,0.000,0.000
97,0.000,0.000,0.000
98,0.000,0.000,0.000
99,0.000,0.000,0.000
100,0.000,0.000,0.000
101,0.000,0.000,0.000
102,0.000,0.000,0.000
103,9.743,18.872,0.000
104,273.005,230.971,0.000
105,400.302,335.587,0.000
106,520.466,199.944,14.610
107,541.957,0.000,119.052
108,511.193,0.000,243.513
109,455.852,0.000,250.214
110,322.062,0.000,118.691
111,79.270,0.000,0.000
112,0.000,0.000,0.000
113,0.000,0.000,0.000
114,0.000,0.000,0.000
115,0.000,0.000,0.000
116,0.000,0.000,0.000
117,0.000,0.000,0.000
118,0.000,0.000,0.000
119,0.000,0.000,0.000
120,0.000,0.000,0.000
121,0.000,0.000,0.000
122,0.000,0.000,0.000
123,0.000,0.000,0.000
124,0.000,0.000,0.000
125,0.000,0.000,0.000
126,0.000,0.000,0.000
127,0.000,136.202,0.000
128,259.647,279.298,0.000
129,477.614,356.963,25.168
130,512.476,350.973,176.343
131,520.687,257.585,280.611
132,508.870,101.785,299.410
133,449.193,0.000,247.403
134,309.323,0.000,121.412
135,74.373,0.000,0.000
136,0.000,0.000,0.000
137,0.000,0.000,0.000
138,0.000,0.000,0.000
139,0.000,0.000,0.000
140,0.000,0.000,0.000
141,0.000,0.000,0.000
142,0.000,0.000,0.000
143,0.000,0.000,0.000
144,0.000,0.000,0.000
145,0.000,0.000,0.000
146,0.000,0.000,0.000
147,0.000,0.000,0.000
148,0.000,0.000,0.000
149,0.000,0.000,0.000
150,0.000,0.000,0.000
151,23.107,135.459,0.000
152,257.937,275.432,0.000
153,422.936,343.564,26.008
154,519.758,337.850,175.883
155,539.614,262.771,273.669
156,527.114,80.639,301.004
157,455.167,0.000,243.348
158,356.712,0.000,120.772
159,57.574,0.000,0.000
160,0.000,0.000,0.000
161,0.000,0.000,0.000
162,0.000,0.000,0.000
163,0.000,0.000,0.000
164,0.000,0.000,0.000
165,0.000,0.000,0.000
166,0.000,0.000,0.000
167,0.000,0.000,0.000
168,0.000,0.000,0.000
169,0.000,0.000,0.000
170,0.000,0.000,0.000
171,0.000,0.000,0.000
172,0.000,0.000,0.000
173,0.000,0.000,0.000
174,0.000,9.771,0.000
175,36.335,166.476,0.000
176,266.404,294.517,0.000
177,448.190,343.866,28.759
