,X1,X2,X3
0,-4.348485824,-128.2103003,-25.17394083
1,-4.516168088,-106.4724029,-19.64806801
2,-4.74699871,-99.22125747,-27.04835993
3,-4.987144125,-97.7974015,-21.77743184
4,-5.156719251,-122.7093249,-32.02787199
5,-5.383694341,-144.84663,-25.04025012
6,-5.555544428,-191.682374,-31.60270645
7,-6.025937628,-404.7917233,-23.79748778
8,-5.634239501,-532.1887082,-27.21229701
9,-5.358818325,-415.4181321,-19.4931279
10,-5.90719284,-350.7985091,-20.7331594
11,-4.808306242,-303.0922808,-14.31276915
12,-4.156312147,-250.8844308,-14.79589192
13,-3.964407872,-255.5891426,-12.13822415
14,-3.877191045,-265.0630239,-16.21413478
15,-4.017286867,-284.3054989,-16.83743004
16,-4.172919273,-263.2473909,-22.51835147
17,-5.227072333,-289.5269332,-18.72852576
18,-4.464700694,-317.7446723,-23.91375221
19,-4.255638059,-351.9755374,-19.95660281
20,-4.235444717,-343.5651525,-25.45283395
21,-4.282763423,-341.1385479,-19.8930588
22,-4.413422985,-435.9295513,-27.22633368
23,-4.53568791,-321.8479985,-20.64062538
24,-4.693055863,-132.2482786,-26.46176085
25,-4.873706485,-103.1863141,-19.7188967
26,-4.997968842,-100.4299748,-26.57928007
27,-5.114681835,-98.84379201,-20.04709175
28,-5.213904025,-123.4611853,-27.07357974
29,-5.384460909,-190.7843011,-20.01569785
30,-5.580727453,-302.5709817,-181.6618757
31,-6.087739934,-499.7700821,-178.4787959
32,-5.803976418,-436.9825336,-133.0043447
33,-5.659710632,-375.0665201,-116.3552699
34,-6.414060463,-329.5429181,-100.4221868
35,-5.37351372,-278.7222244,-84.97206348
36,-4.875409468,-271.6561848,-81.98039517
37,-4.755251401,-276.0982919,-72.89044125
38,-4.67935955,-281.3145785,-68.69411033
39,-4.328944714,-278.4033378,-61.24510587
40,-4.334507776,-239.4529669,-60.10776083
41,-5.213984363,-285.647272,-64.56966339
42,-4.349029164,-401.8799996,-74.76919287
43,-4.109582691,-334.8932233,-80.18744605
44,-3.987325381,-325.3544074,-87.43819274
45,-3.975449767,-413.9428334,-84.6115644
46,-4.150607671,-345.3684942,-0.860403743
47,-4.241247432,-261.4574687,-0.0156
48,-4.449960694,-130.7330438,-0.86035156
49,-4.558291911,-101.3758936,-0.0156
50,-4.648833815,-98.8154171,-0.860348017
51,-4.719175242,-97.25655647,-0.0156
52,-4.772824074,-121.7968354,-0.860349506
53,-4.984964481,-189.2345244,-0.0156
54,-5.858801441,-301.6849995,-117.7802093
55,-6.037422185,-499.04474,-113.9380863
56,-5.746219331,-436.4460707,-83.66073399
57,-5.727707109,-379.6375564,-76.92127968
58,-6.614095339,-342.696874,-69.20506296
59,-5.910226526,-305.424067,-69.25075433
60,-5.660234346,-309.3687069,-74.24748271
61,-5.308356077,-310.2257594,-62.29969877
62,-5.334147591,-310.9998397,-61.38180037
63,-5.347687266,-315.5293418,-62.76736257
64,-5.45278582,-282.3829914,-67.01350363
65,-6.711534302,-337.0142691,-72.91992217
66,-6.027339675,-462.9176607,-86.75557134
67,-5.812321747,-396.7311773,-91.19554948
68,-5.781951589,-384.7390563,-100.2161441
69,-5.803202069,-477.1328313,-102.5082706
70,-5.910821096,-408.8965969,-0.860433782
71,-6.026990427,-323.5627012,-0.0156
72,-6.305605648,-135.7005615,-0.86035147
73,-6.516233304,-110.8666683,-0.0156
74,-6.707075992,-108.6281553,-6.782618423
75,-6.841320482,-107.3299703,-5.085168156
76,-6.97559732,-132.2004494,-8.52384132
77,-7.17695648,-199.7464567,-6.436518187
78,-7.384561491,-315.5776452,-123.8083404
79,-8.052028473,-551.6323928,-139.570173
80,-7.397623499,-489.6477874,-100.5845257
81,-6.709945582,-404.267719,-79.21297398
82,-7.311981783,-356.6606046,-68.71323014
83,-5.777399885,-308.469182,-61.53349924
84,-4.876394049,-302.9332345,-61.09356662
85,-4.28368181,-297.2039516,-50.74055578
86,-4.181453648,-299.408792,-47.09135753
87,-4.263508661,-305.3488863,-49.15231948
88,-4.582168847,-272.7911633,-55.70733199
89,-6.140362354,-334.7533507,-66.24348167
90,-5.442227709,-461.5341172,-80.15387445
91,-5.422911857,-393.4546909,-86.3994506
92,-5.54941798,-391.7247147,-97.83563765
93,-5.769574844,-482.4647887,-102.2481524
94,-6.139670981,-417.2380837,-0.0156
95,-6.763186183,-345.9617324,-0.0156
96,-7.039742613,-144.858076,-0.860351404
97,-7.430094108,-113.7807598,-5.520343315
98,-7.704728911,-110.8576896,-8.704868565
99,-7.806739845,-108.9796782,-7.857116393
100,-7.898545732,-133.326656,-10.71838669
101,-8.062753284,-200.6546348,-9.360967184
102,-8.248920973,-315.8626945,-124.4378445
103,-8.306118767,-571.1515914,-151.975549
104,-7.903343326,-515.7071662,-109.999865
105,-7.197930206,-420.3662318,-85.09504151
106,-7.680256646,-363.1657683,-70.81720675
107,-6.604342719,-318.8249996,-67.57358441
108,-6.025593466,-320.2342258,-72.76382743
109,-5.863509922,-324.1253457,-67.86518737
110,-5.732814308,-327.4897049,-66.41290511
111,-5.675025176,-326.6072522,-65.93130446
112,-5.816553591,-293.2250624,-69.64810585
113,-7.111688256,-352.056766,-75.35169351
114,-7.442343601,-472.2549312,-84.95040001
115,-6.341556669,-400.3147629,-87.47025688
116,-6.00864285,-388.0064346,-96.38026703
117,-5.906768616,-480.5547079,-99.83628851
118,-5.971069605,-411.9388892,-0.0156
119,-6.104944965,-325.5344181,-0.860352236
120,-6.288616347,-137.7345479,-0.0156
121,-6.488213764,-111.4154068,-0.860347237
122,-6.554353346,-108.8031418,-3.213978995
123,-6.600656172,-110.1750585,-5.828802681
124,-6.833065626,-128.4283318,-5.914166129
125,-7.001745443,-199.3911534,-8.175754027
126,-7.108612625,-317.8141164,-116.155448
127,-7.160600311,-547.1800606,-133.0189433
128,-7.308508653,-497.7442003,-104.5513937
129,-7.345319571,-426.6230108,-95.62122068
130,-8.569765814,-388.396941,-89.03710096
131,-7.694365745,-344.9351295,-85.48016962
132,-7.09521455,-336.9712554,-83.98065693
133,-6.73967795,-335.5011758,-74.95246417
134,-6.579252559,-337.513577,-72.54749745
135,-6.394082678,-335.664437,-70.51833192
136,-6.299586448,-296.1140698,-70.27225248
137,-6.111244864,-348.8957346,-73.44717196
138,-7.008203027,-464.0132293,-79.3032731
139,-5.890192676,-382.4989529,-82.08232777
140,-5.512837233,-372.9622312,-90.39394185
141,-5.302941125,-454.4066825,-93.87515431
142,-5.154980949,-385.3191459,-0.0156
143,-5.250230904,-298.7503572,-0.860351228
144,-5.346993661,-140.9676371,-0.0156
145,-5.489814276,-111.4249822,-0.860352324
146,-5.575696387,-109.2698504,-5.462058634
147,-5.595429127,-108.0565224,-5.616278907
148,-5.65898433,-132.9299808,-6.75577241
149,-5.81911927,-155.2480309,-6.517554444
150,-5.94472975,-198.8891162,-116.3321974
151,-6.398283415,-429.1019111,-115.2067777
152,-5.945046481,-557.6538088,-96.39447791
153,-5.828960523,-440.7617094,-88.31195918
154,-6.637785557,-376.4907432,-81.42867275
155,-5.831244241,-339.4583088,-78.2487983
156,-5.286303452,-295.2977128,-72.72017886
157,-5.042990358,-293.9940348,-69.7565082
158,-4.91849514,-292.8415986,-82.8757525
159,-4.8545409,-293.310889,-85.87464689
160,-4.793697288,-264.0917711,-89.30148641
161,-4.556728737,-288.1615146,-89.1715293
162,-4.320762306,-295.7044351,-0.860428309
163,-4.206507796,-338.7361473,-0.0156
164,-4.143905724,-329.930574,-0.860413053
165,-4.119875399,-335.4902532,-0.860487982
166,-4.266241119,-430.1563531,-0.0156
167,-4.329522187,-322.6646451,-0.0156
168,-4.409479212,-129.8767366,-0.860332779
169,-4.5265104,-107.5855336,-2.654448306
170,-4.717234386,-100.9200549,-2.980752751
171,-4.769616689,-99.83865946,-4.194267481
172,-4.839887875,-125.5458946,-7.577723435
173,-5.013461572,-147.5310533,-4.788135687
174,-5.553573473,-197.7966377,-6.600576379
175,-5.586102918,-398.3268957,-4.386885871
176,-5.051484446,-521.6571266,-5.05183815
177,-4.688381455,-405.669167,-5.017897344
178,-5.318859692,-341.3975414,-5.660589364
179,-4.459459463,-280.0094919,-4.438487978
180,-4.092334872,-230.3315476,-0.0156
181,-3.822163119,-237.4540085,-0.860508895
182,-3.681156605,-242.6532475,-0.0156
183,-3.502035476,-244.9747056,-0.860349994
184,-3.419867183,-209.5367147,-2.7053453
185,-4.039210797,-228.6119303,-3.702286131
186,-3.288369759,-251.7861787,-4.022237749
187,-3.092570589,-322.0008682,-5.894107779
188,-3.05038269,-316.2381143,-4.408764028
189,-3.098172356,-299.6876675,-6.429571358
190,-3.126479848,-372.2694134,-4.722252912
191,-3.370938938,-292.5784144,-5.912387369
192,-3.473630222,-123.5765631,-6.075381102
193,-3.603141088,-98.10314946,-6.276895391
194,-3.648877872,-99.22375031,-5.733318839
195,-3.765954576,-93.39717747,-6.869498652
196,-3.814989828,-115.9580458,-6.757113058
197,-4.03583603,-185.2226853,-6.331192962
198,-4.558922166,-302.035041,-140.8026125
199,-4.593542775,-433.4374609,-107.5422913
200,-4.140757149,-367.8110574,-66.3980312
201,-3.556761067,-289.7399948,-47.47303976
202,-3.910650846,-227.2110013,-40.09297271
203,-3.290824229,-189.3666646,-37.05490967
204,-2.670412347,-176.2645269,-38.49122289
205,-2.250729204,-158.8132186,-26.07283204
206,-2.121238157,-163.1201099,-22.4696783
207,-2.019571959,-170.414638,-21.28812643
208,-2.160295966,-159.9959861,-23.97742393
209,-2.939302584,-228.9483505,-31.11545398
210,-2.370815875,-355.5508263,-39.47550567
211,-2.216023495,-280.5037961,-40.49686173
212,-2.253828753,-277.8782476,-48.60404315
213,-2.44403292,-387.9890708,-54.75549251
214,-2.537422479,-302.2079293,-0.0156
215,-2.711930868,-195.4403671,-0.860350135
216,-2.98201771,-146.2942299,-0.0156
217,-3.123932895,-109.9537484,-0.860351912
218,-3.253943453,-105.6569502,-0.0156
219,-3.359178905,-95.52283445,-0.0156
220,-3.460170224,-115.1492252,-0.860352919
221,-3.615506017,-183.5326237,-0.860458938
222,-3.783048329,-298.397551,-80.56299704
223,-4.082559072,-409.8043094,-63.47774316
224,-3.780060549,-339.8854661,-36.62187005
225,-3.441386523,-283.7979152,-26.47826257
226,-3.816120726,-231.1482071,-21.74120581
227,-3.046889194,-184.115668,-20.63137873
228,-2.722500952,-170.2681606,-25.59185737
229,-2.569555073,-166.8866372,-18.9780414
230,-2.433959082,-169.2256377,-18.41944503
231,-2.444624454,-181.2245537,-19.20834216
232,-2.419914059,-158.6251328,-19.87463521
233,-2.946956027,-208.3155759,-22.73326844
234,-2.490192786,-341.0612683,-29.10275776
235,-2.358936374,-283.2912757,-31.13870389
236,-2.352050401,-275.9431337,-37.77216632
237,-2.767896736,-449.8606025,-43.95581079
238,-2.87439938,-343.5752214,-0.0156
239,-3.027999688,-232.0885607,-0.860349395
240,-3.222465966,-122.423561,-0.0156
241,-3.456039842,-92.85214346,-0.860351444
242,-3.663419386,-90.52486736,-0.0156
243,-3.841971648,-89.23921921,-0.860352765
244,-3.996657082,-114.2268094,-0.0156
245,-4.199794865,-182.2064504,-0.86046545
