,X1,X2,X3
0,-0.637703523,-101.8098151,-20.59216851
1,-0.523597994,-101.8098151,-20.28695901
2,-0.478879418,-84.35341579,-20.66797075
3,-0.465607474,-84.35341579,-20.45454137
4,-0.46443143,-84.35341579,-21.30478371
5,-0.517138943,-89.35159579,-20.89025551
6,-0.721931362,-145.8290414,-21.10368488
7,-0.997424088,-198.560913,-20.68915667
8,-0.986366555,-238.5885177,-20.66797075
9,-0.855918888,-234.677413,-20.28695901
10,-0.85757993,-230.9966457,-20.66797075
11,-0.875498106,-226.7017599,-20.28695901
12,-0.855906445,-226.8201143,-20.66797075
13,-0.829067631,-199.5535049,-20.28695901
14,-0.825263783,-191.1503693,-20.66797075
15,-0.886860913,-199.3754153,-20.28695901
16,-1.119716265,-220.7338254,-20.66797075
17,-1.547808325,-188.1171426,-20.28695901
18,-1.800936602,-249.6623538,-20.66797075
19,-1.783831525,-248.5771465,-20.28695901
20,-1.652271391,-269.0801236,-20.66797075
21,-1.507004344,-245.0188368,-20.28695901
22,-1.216902599,-195.9525622,-20.66797075
23,-0.923671883,-135.0225679,-20.28695901
24,-0.63112984,-90.41122174,-26.02880277
25,-0.51965097,-83.05979616,-25.64779104
26,-0.47626818,-75.15766095,-26.02880277
27,-0.46424207,-75.15766095,-25.64779104
28,-0.461760275,-75.15766095,-26.02880277
29,-0.513042251,-95.40940174,-28.32820705
30,-0.71130585,-177.9611082,-30.09572467
31,-0.976262726,-234.6409726,-52.05585025
32,-0.953929254,-200.7188582,-121.9423651
33,-0.810887829,-224.5505186,-113.5937937
34,-0.806663701,-217.1743165,-111.6672003
35,-0.823009346,-217.3161141,-113.5937937
36,-0.808095939,-217.3888333,-113.0494452
37,-0.785479598,-199.2912504,-115.1992882
38,-0.786138211,-190.9600294,-111.6672003
39,-0.84980194,-199.3090863,-111.6672003
40,-1.083798346,-220.6961672,-114.5570904
41,-1.512456395,-195.2825176,-103.6121768
42,-1.766626287,-248.9453352,-66.11390362
43,-1.74958677,-251.7150954,-63.54511241
44,-1.617416021,-277.0301194,-47.46261634
45,-1.471397486,-257.3525405,-46.17822074
46,-1.188609387,-195.2355437,-26.80416012
