,X1
0,0.030204
1,0.02608
2,0.02422
3,0.020788
4,0.020432
5,0.018288
6,0.018432
7,0.019616
8,0.018996
9,0.022044
10,0.022496
11,0.030972
12,0.0321
13,0.032904
14,0.029288
15,0.03118
16,0.035084
17,0.0384
18,0.03484
19,0.031536
20,0.02942
21,0.026932
22,0.026272
23,0.030432
24,0.017652
25,0.012484
26,0.0118
27,0.002932
28,0.003144
29,0.006844
30,0.009832
31,0.028724
32,0.029256
33,0.02968
34,0.028992
35,0.028644
36,0.02908
37,0.028652
38,0.028256
39,0.033064
40,0.03846
41,0.04788
42,0.044968
43,0.03228
44,0.031224
45,0.03106
46,0.030764
47,0.017596
48,0.027548
49,0.026128
50,0.025588
51,0.02324
52,0.02092
53,0.020712
54,0.028828
55,0.029736
56,0.030868
57,0.032032
58,0.030568
59,0.032272
60,0.03364
61,0.031184
62,0.030068
63,0.034676
64,0.041852
65,0.056832
66,0.049416
67,0.033876
68,0.032844
69,0.03208
70,0.030052
71,0.027928
72,0.034012
73,0.033376
74,0.032232
75,0.028796
76,0.026108
77,0.023828
78,0.02628
79,0.027172
80,0.027304
81,0.029528
82,0.03056
83,0.03712
84,0.036448
85,0.03538
86,0.032504
87,0.031248
88,0.038436
89,0.051156
90,0.042844
91,0.033392
92,0.034704
93,0.032116
94,0.031344
95,0.032536
96,0.031104
97,0.032164
98,0.030504
99,0.02648
100,0.02454
101,0.02832
102,0.032716
103,0.034164
104,0.0342
105,0.035496
106,0.037068
107,0.033932
108,0.032376
109,0.030184
110,0.02942
111,0.034352
112,0.03946
113,0.049504
114,0.042368
115,0.03306
116,0.032432
117,0.03166
118,0.030444
119,0.031248
120,0.026884
121,0.026652
122,0.024908
123,0.022204
124,0.021568
125,0.020568
126,0.025852
127,0.032408
128,0.029724
129,0.02978
130,0.029404
131,0.028604
132,0.028556
133,0.028704
134,0.028504
135,0.033952
136,0.037016
137,0.03848
138,0.03736
139,0.031808
140,0.031412
141,0.03076
142,0.02966
143,0.026608
144,0.026928
145,0.02612
146,0.02292
147,0.020068
148,0.019724
149,0.022728
150,0.028288
151,0.0325
152,0.031472
153,0.032152
154,0.031196
155,0.029336
156,0.029372
157,0.030092
158,0.029692
159,0.035256
160,0.040632
161,0.042124
162,0.038184
163,0.032472
164,0.031896
165,0.03118
166,0.029772
167,0.027088
168,0.027164
169,0.023216
170,0.02064
171,0.014864
172,0.0177
173,0.02404
174,0.027652
175,0.032416
176,0.030692
177,0.032384
178,0.03676
179,0.036172
180,0.036048
181,0.033428
182,0.032264
183,0.035416
184,0.037696
185,0.041652
186,0.038568
187,0.032068
188,0.03108
189,0.029444
190,0.028336
191,0.026636
192,0.0222
193,0.021688
194,0.020932
195,0.019428
196,0.020204
197,0.022716
198,0.029652
199,0.034504
200,0.031056
201,0.037412
202,0.034052
203,0.031532
204,0.03184
205,0.030592
206,0.030444
207,0.031496
208,0.036204
209,0.040912
210,0.037612
211,0.031772
212,0.031276
213,0.030408
214,0.029228
215,0.02358
216,0.02546
217,0.024804
218,0.022924
219,0.016156
220,0.016012
221,0.016076
222,0.0188
223,0.021496
224,0.0277
225,0.036528
226,0.037972
227,0.033036
228,0.032304
229,0.027144
230,0.02544
231,0.02878
232,0.033044
233,0.040848
234,0.039004
235,0.030992
236,0.03018
237,0.02854
238,0.026472
239,0.025296
240,0.026796
241,0.02448
242,0.021836
243,0.016364
244,0.015808
245,0.015068
246,0.016208
247,0.020496
248,0.023188
249,0.025788
250,0.025688
251,0.026116
252,0.02782
253,0.025944
254,0.02602
255,0.028988
256,0.033448
257,0.046352
258,0.039816
259,0.0321
260,0.029496
261,0.02664
262,0.024488
263,0.02574
264,0.012052
265,0.012664
266,0.011072
267,0.010084
268,0.0105
269,0.014024
270,0.02202
271,0.031348
272,0.031372
273,0.033612
274,0.032624
275,0.033696
276,0.034456
277,0.033724
278,0.032576
279,0.032768
280,0.036724
281,0.043404
282,0.040588
283,0.035284
284,0.03424
285,0.032088
286,0.029156
287,0.013108
288,0.03086
289,0.027696
290,0.024548
291,0.014528
292,0.012028
293,0.023504
294,0.027532
295,0.036888
296,0.035452
297,0.030476
298,0.02944
299,0.029672
300,0.029804
301,0.030868
302,0.030076
303,0.034064
304,0.038456
305,0.043192
306,0.040056
307,0.036876
308,0.034444
309,0.031664
310,0.030656
311,0.026684
312,0.027584
313,0.02722
314,0.026904
315,0.022232
316,0.02174
317,0.023944
318,0.028616
319,0.032832
320,0.030684
321,0.032216
322,0.031216
323,0.031636
324,0.030812
325,0.02986
326,0.02954
327,0.032936
328,0.0361
329,0.046948
330,0.043152
331,0.03476
332,0.032036
333,0.032028
334,0.029672
335,0.024992
336,0.024548
337,0.024324
338,0.023948
339,0.021456
340,0.018424
341,0.022068
342,0.028296
343,0.033508
344,0.033376
345,0.031924
346,0.031852
347,0.030188
348,0.03014
349,0.030336
350,0.030224
351,0.032736
352,0.037612
353,0.043052
354,0.0396
355,0.036376
356,0.032848
357,0.030504
358,0.029512
359,0.024796
360,0.024696
361,0.026236
362,0.02556
363,0.021304
364,0.020068
365,0.02668
366,0.03042
367,0.033384
368,0.03242
369,0.035816
370,0.034956
371,0.032372
372,0.032012
373,0.03132
374,0.030544
375,0.03476
376,0.03574
377,0.040504
378,0.038152
379,0.034064
380,0.033804
381,0.033528
382,0.032208
383,0.023752
384,0.028728
385,0.028288
386,0.0276
387,0.02586
388,0.025944
389,0.02696
390,0.02598
391,0.026988
392,0.029892
393,0.032556
394,0.032524
395,0.032064
396,0.031836
397,0.028904
398,0.028224
399,0.02906
400,0.031732
401,0.045824
402,0.043092
403,0.031868
404,0.031204
405,0.031376
406,0.030184
407,0.0277
408,0.030308
409,0.027364
410,0.027228
411,0.024592
412,0.02442
413,0.024076
414,0.024264
415,0.024896
416,0.027296
417,0.030432
418,0.031908
419,0.033764
420,0.034436
421,0.032588
422,0.031324
423,0.032724
424,0.033788
425,0.046796
426,0.041488
427,0.031672
428,0.030632
429,0.030832
430,0.028792
431,0.031108
432,0.026136
433,0.025912
434,0.026072
435,0.025576
436,0.025772
437,0.026652
438,0.031388
439,0.031968
440,0.0337
441,0.039132
442,0.039592
443,0.036264
444,0.036616
445,0.035812
446,0.034608
447,0.039108
448,0.06098
449,0.104324
450,0.086356
451,0.048556
452,0.042292
453,0.038712
454,0.037576
455,0.026388
456,0.031276
457,0.028332
458,0.027816
459,0.02682
460,0.024368
461,0.029204
462,0.0329
463,0.035816
464,0.040524
465,0.050196
466,0.048392
467,0.040168
468,0.04006
469,0.038688
470,0.03832
471,0.037228
472,0.040248
473,0.048936
474,0.046784
475,0.033932
476,0.032636
477,0.031512
478,0.030412
479,0.0297
480,0.025388
481,0.026632
482,0.025252
483,0.024276
484,0.024004
485,0.024372
486,0.029316
487,0.033412
488,0.032932
489,0.037176
490,0.038516
491,0.035428
492,0.034756
493,0.0342
494,0.033588
495,0.04226
496,0.048284
497,0.06686
498,0.054972
499,0.038484
500,0.036756
501,0.032544
502,0.030644
503,0.02666
504,0.027816
505,0.027708
506,0.026896
507,0.026768
508,0.025852
509,0.026608
510,0.028136
511,0.03314
512,0.036528
513,0.04054
514,0.03884
515,0.029748
516,0.029428
517,0.029416
518,0.0291
519,0.037176
520,0.039456
521,0.053076
522,0.049672
523,0.035812
524,0.03376
525,0.03202
526,0.030684
527,0.027452
528,0.028004
529,0.027276
530,0.026384
531,0.02426
532,0.023896
533,0.025096
534,0.026944
535,0.036444
536,0.033732
537,0.031812
538,0.030888
539,0.02698
540,0.027124
541,0.026984
542,0.026832
543,0.029208
544,0.030244
545,0.03678
546,0.035028
547,0.03164
548,0.030664
549,0.029552
550,0.028952
551,0.029168
552,0.026552
553,0.025644
554,0.024028
555,0.020532
556,0.020336
557,0.020864
558,0.021928
559,0.027288
560,0.02782
561,0.031232
562,0.031976
563,0.034604
564,0.032052
565,0.0285
566,0.028276
567,0.027892
568,0.028164
569,0.042068
570,0.040072
571,0.031548
572,0.031312
573,0.030508
574,0.029512
575,0.028672
576,0.0303
577,0.031804
578,0.03048
579,0.025136
580,0.0244
581,0.024424
582,0.025424
583,0.02562
584,0.02636
585,0.028924
586,0.028828
587,0.030248
588,0.030212
589,0.02908
590,0.02834
591,0.030468
592,0.034256
593,0.0467
594,0.04448
595,0.032436
596,0.031
597,0.030148
598,0.029488
599,0.030176
600,0.026856
601,0.026828
602,0.025924
603,0.021776
604,0.020508
605,0.025312
606,0.029792
607,0.0314
608,0.028744
609,0.027396
610,0.02734
611,0.02784
612,0.027572
613,0.027592
614,0.027292
615,0.03182
616,0.03454
617,0.040968
618,0.038388
619,0.034368
620,0.031904
621,0.032148
622,0.03056
623,0.026888
624,0.025876
625,0.025956
626,0.02598
627,0.022796
628,0.022808
629,0.02614
630,0.027984
631,0.03104
632,0.029876
633,0.031284
634,0.030212
635,0.028748
636,0.029184
637,0.028788
638,0.028084
639,0.032656
640,0.03464
641,0.047208
642,0.04098
643,0.031048
644,0.030104
645,0.029868
646,0.029296
647,0.025464
648,0.02942
649,0.025488
650,0.023688
651,0.018036
652,0.017684
653,0.023868
654,0.0274
655,0.029204
656,0.03026
657,0.035864
658,0.033148
659,0.0296
660,0.029092
661,0.028608
662,0.02772
663,0.029488
664,0.031756
665,0.053468
666,0.045896
667,0.03296
668,0.03158
669,0.029236
670,0.028484
671,0.028548
672,0.027996
673,0.030788
674,0.02952
675,0.026828
676,0.026224
677,0.02712
678,0.033768
679,0.031552
680,0.03094
681,0.035424
682,0.035284
683,0.03486
684,0.034468
685,0.033188
686,0.032684
687,0.034072
688,0.0352
689,0.050952
690,0.047872
691,0.035604
692,0.035888
693,0.033324
694,0.032328
695,0.028256
696,0.02998
697,0.03084
698,0.030812
699,0.02754
700,0.026392
701,0.030588
702,0.031
703,0.033096
704,0.034388
705,0.042068
706,0.042276
707,0.04068
708,0.038832
709,0.03132
710,0.030336
711,0.031396
712,0.03212
713,0.048164
714,0.044532
715,0.034692
716,0.033484
717,0.032016
718,0.03078
719,0.028628
720,0.027968
721,0.026732
722,0.026356
723,0.02512
724,0.023204
725,0.02314
726,0.024344
727,0.025844
728,0.029352
729,0.03184
730,0.032792
731,0.037752
732,0.036432
733,0.031652
734,0.02998
735,0.029432
736,0.028404
737,0.04144
738,0.039476
739,0.0314
740,0.030488
741,0.028228
742,0.027956
743,0.029988
744,0.0262
745,0.024828
746,0.022128
747,0.018968
748,0.018988
749,0.018848
750,0.02028
751,0.0244
752,0.025152
753,0.027352
754,0.029096
755,0.032892
756,0.032576
757,0.0322
758,0.029436
759,0.033272
760,0.031792
761,0.050928
762,0.049204
763,0.033972
764,0.033828
765,0.03284
766,0.03054
767,0.026888
768,0.024536
769,0.024672
770,0.024436
771,0.024468
772,0.024336
773,0.026528
774,0.02818
775,0.032208
776,0.032212
777,0.037972
778,0.038704
779,0.036096
780,0.036304
781,0.035608
782,0.034832
783,0.03634
784,0.038496
785,0.0667
786,0.060544
787,0.035864
788,0.03392
789,0.033264
790,0.0321
791,0.02516
792,0.031464
793,0.03326
794,0.033216
795,0.028396
796,0.02806
797,0.030528
798,0.032704
799,0.036048
800,0.036096
801,0.039496
802,0.037272
803,0.030604
804,0.029788
805,0.030116
806,0.030068
807,0.0329
808,0.0327
809,0.041248
810,0.039072
811,0.035132
812,0.03266
813,0.030708
814,0.02984
815,0.03086
816,0.027552
817,0.027652
818,0.027768
819,0.027524
820,0.027712
821,0.029284
822,0.032292
823,0.038488
824,0.037676
825,0.038736
826,0.038612
827,0.030616
828,0.030468
829,0.030356
830,0.02996
831,0.03364
832,0.037176
833,0.040404
834,0.040676
835,0.037184
836,0.036004
837,0.032676
838,0.03218
839,0.02598
840,0.027608
841,0.02846
842,0.028408
843,0.027524
844,0.026816
845,0.028504
846,0.032008
847,0.03644
