,X1,X2,X3
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0.001,0.001,0.001
9,0.029,0.029,0.029
10,0.051,0.051,0.051
11,0.04,0.04,0.04
12,0.057,0.057,0.057
13,0.05,0.05,0.05
14,0.038,0.038,0.038
15,0.01,0.01,0.01
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0.015,0.015,0.015
33,0.22,0.22,0.22
34,0.444,0.444,0.444
35,0.545,0.545,0.545
36,0.58,0.58,0.58
37,0.497,0.497,0.497
38,0.339,0.339,0.339
39,0.078,0.078,0.078
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0.004,0.004,0.004
57,0.164,0.164,0.164
58,0.414,0.414,0.414
59,0.374,0.374,0.374
60,0.07,0.07,0.07
61,0.074,0.074,0.074
62,0.163,0.163,0.163
63,0.051,0.051,0.051
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0.002,0.002,0.002
81,0.043,0.043,0.043
82,0.08,0.08,0.08
83,0.115,0.115,0.115
84,0.054,0.054,0.054
85,0.069,0.069,0.069
86,0.044,0.044,0.044
87,0.016,0.016,0.016
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0.014,0.014,0.014
105,0.1,0.1,0.1
106,0.289,0.289,0.289
107,0.178,0.178,0.178
108,0.071,0.071,0.071
109,0.06,0.06,0.06
110,0.045,0.045,0.045
111,0.018,0.018,0.018
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0.011,0.011,0.011
129,0.192,0.192,0.192
130,0.238,0.238,0.238
131,0.489,0.489,0.489
132,0.373,0.373,0.373
133,0.23,0.23,0.23
134,0.116,0.116,0.116
135,0.092,0.092,0.092
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0.001,0.001,0.001
153,0.018,0.018,0.018
154,0.015,0.015,0.015
155,0.195,0.195,0.195
156,0.453,0.453,0.453
157,0.542,0.542,0.542
158,0.344,0.344,0.344
159,0.092,0.092,0.092
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0.024,0.024,0.024
177,0.14,0.14,0.14
178,0.358,0.358,0.358
179,0.539,0.539,0.539
180,0.523,0.523,0.523
181,0.176,0.176,0.176
182,0.258,0.258,0.258
183,0.038,0.038,0.038
184,0,0,0
185,0,0,0
