comment,"Heat output in kW per m2 solar field, based on free 2005 DNI data from HelioClim (HC3v2: http://www.soda-is.com/eng/helioclim/index.html), processed with the CSP plant model described by Gauche, P., von Backstrom, T.W. & Brent, A.C., 2011. CSP Modeling Methodology for Macro Decision Making - Emphasis on the Central Receiver Type. In Granada, Spain.","Heat output in kW per m2 solar field, based on free 2005 DNI data from HelioClim (HC3v2: http://www.soda-is.com/eng/helioclim/index.html), processed with the CSP plant model described by Gauche, P., von Backstrom, T.W. & Brent, A.C., 2011. CSP Modeling Methodology for Macro Decision Making - Emphasis on the Central Receiver Type. In Granada, Spain.","Heat output in kW per m2 solar field, based on free 2005 DNI data from HelioClim (HC3v2: http://www.soda-is.com/eng/helioclim/index.html), processed with the CSP plant model described by Gauche, P., von Backstrom, T.W. & Brent, A.C., 2011. CSP Modeling Methodology for Macro Decision Making - Emphasis on the Central Receiver Type. In Granada, Spain.","Time series in kWh based on modified data from the IIASA GAINS model database. Amann, M., et al., Cost-effective control of air quality and greenhouse gases in Europe: Modeling and policy applications. Environmental Modelling & Software, 2011. 26(12): p. 1489-1501.","Time series in kWh based on modified data from the IIASA GAINS model database. Amann, M., et al., Cost-effective control of air quality and greenhouse gases in Europe: Modeling and policy applications. Environmental Modelling & Software, 2011. 26(12): p. 1489-1501."
nodes,region1_1,region1_2,region1_3,region1,region2
techs,csp,csp,csp,demand_power,demand_power
parameters,source_use_max,source_use_max,source_use_max,sink_use_equals,sink_use_equals
timesteps,,,,,
2005-01-01 00:00,0,0,0,25284.48,2254.098
2005-01-01 01:00,0,0,0,24387.44,2131.148
2005-01-01 02:00,0,0,0,23730.656,2090.164
2005-01-01 03:00,0,0,0,23123.04,2131.148
2005-01-01 04:00,0,0,0,23119.6,2172.132
2005-01-01 05:00,0,0,0,23683.28,2172.132
2005-01-01 06:00,0,0,0,24364.72,2213.114
2005-01-01 07:00,0.02106,0.009056,0,25249.968,2295.082
2005-01-01 08:00,0.263805,0.096755,0,26090.208,2459.016
2005-01-01 09:00,0.434037,0.245351,0.026837,26870.464,2459.016
2005-01-01 10:00,0.5182769999999999,0.120591,0.17191199999999998,27096.64,2418.032
2005-01-01 11:00,0.5313979999999999,0.044248,0.270085,27001.568,2418.032
2005-01-01 12:00,0.5199640000000001,0.020565,0.295433,27097.136,2377.05
2005-01-01 13:00,0.451715,0,0.240853,27438.192,2336.066
2005-01-01 14:00,0.304444,0,0.10680899999999999,28622.992,2295.082
2005-01-01 15:00,0.062079,0,0,30166.272,2459.016
2005-01-01 16:00,0,0,0,31613.12,2909.836
2005-01-01 17:00,0,0,0,31965.28,2868.852
2005-01-01 18:00,0,0,0,31139.792,2786.886
2005-01-01 19:00,0,0,0,30229.456,2745.902
2005-01-01 20:00,0,0,0,29165.616,2622.95
2005-01-01 21:00,0,0,0,27508.704,2459.016
2005-01-01 22:00,0,0,0,26001.632,2254.098
2005-01-01 23:00,0,0,0,25050.672,2295.082
2005-01-02 00:00,0,0,0,24391.136,2254.098
2005-01-02 01:00,0,0,0,24143.888,2131.148
2005-01-02 02:00,0,0,0,24237.76,2090.164
2005-01-02 03:00,0,0,0,24841.728,2131.148
2005-01-02 04:00,0,0,0,26832.752,2172.132
2005-01-02 05:00,0,0,0,29293.6,2172.132
2005-01-02 06:00,0,0,0,31062.336,2213.114
2005-01-02 07:00,0.018766,0.096031,0,32192.288,2295.082
2005-01-02 08:00,0.257264,0.144047,0,32969.296,2459.016
2005-01-02 09:00,0.425005,0.098728,0,33562.496,2459.016
2005-01-02 10:00,0.510026,0,0.123588,33535.504,2418.032
2005-01-02 11:00,0.520726,0.001851,0.28683200000000003,33355.728,2418.032
2005-01-02 12:00,0.5140790000000001,0,0.285821,33234.144,2377.05
2005-01-02 13:00,0.44711000000000006,0,0.211211,33526,2336.066
2005-01-02 14:00,0.298619,0,0.113541,34474.864,2295.082
2005-01-02 15:00,0.064904,0,0,35769.216,2459.016
2005-01-02 16:00,0,0,0,36819.424,2909.836
2005-01-02 17:00,0,0,0,36838.016,2868.852
2005-01-02 18:00,0,0,0,35330.4,2786.886
2005-01-02 19:00,0,0,0,33791.248,2745.902
2005-01-02 20:00,0,0,0,32205.2,2622.95
2005-01-02 21:00,0,0,0,30046.832,2459.016
2005-01-02 22:00,0,0,0,28241.6,2254.098
2005-01-02 23:00,0,0,0,27086.592,2295.082
2005-01-03 00:00,0,0,0,26405.408,2254.098
2005-01-03 01:00,0,0,0,26148.112,2131.148
2005-01-03 02:00,0,0,0,26243.968,2090.164
2005-01-03 03:00,0,0,0,26815.568,2131.148
2005-01-03 04:00,0,0,0,29051.792,2172.132
2005-01-03 05:00,0,0,0,31915.536,2172.132
2005-01-03 06:00,0,0,0,33825.792,2213.114
2005-01-03 07:00,0.023159000000000003,0.063446,0,34791.312,2295.082
2005-01-03 08:00,0.263962,0.20942399999999997,0,35248.512,2459.016
2005-01-03 09:00,0.433093,0.235748,0.027270999999999997,35543.136,2459.016
2005-01-03 10:00,0.5173770000000001,0.22675,0.17708800000000002,35327.968,2418.032
2005-01-03 11:00,0.52825,0.064664,0.274942,35020.832,2418.032
2005-01-03 12:00,0.517085,0.007796,0.298652,34918.768,2377.05
2005-01-03 13:00,0.453117,0,0.242008,35260.944,2336.066
2005-01-03 14:00,0.30854899999999996,0,0.111134,36226.224,2295.082
2005-01-03 15:00,0.072015,0,0,37500.768,2459.016
2005-01-03 16:00,0,0,0,38467.44,2909.836
2005-01-03 17:00,0,0,0,38202.432,2868.852
2005-01-03 18:00,0,0,0,36510,2786.886
2005-01-03 19:00,0,0,0,34852.768,2745.902
2005-01-03 20:00,0,0,0,33083.696,2622.95
2005-01-03 21:00,0,0,0,30834.896,2459.016
2005-01-03 22:00,0,0,0,28971.616,2254.098
2005-01-03 23:00,0,0,0,27761.44,2295.082
2005-01-04 00:00,0,0,0,27034.912,2254.098
2005-01-04 01:00,0,0,0,26741.904,2131.148
2005-01-04 02:00,0,0,0,26864.928,2090.164
2005-01-04 03:00,0,0,0,27412.8,2131.148
2005-01-04 04:00,0,0,0,29627.424,2172.132
2005-01-04 05:00,0,0,0,32533.488,2172.132
2005-01-04 06:00,0,0,0,34473.6,2213.114
2005-01-04 07:00,0.019292,0.092428,0,35410.48,2295.082
2005-01-04 08:00,0.25640100000000005,0.13939100000000001,0,35833.568,2459.016
2005-01-04 09:00,0.41748,0.196698,0,36172.144,2459.016
2005-01-04 10:00,0.512304,0.141624,0.03146,35937.632,2418.032
2005-01-04 11:00,0.52147,0,0.16852,35691.072,2418.032
2005-01-04 12:00,0.515514,0,0.25895100000000004,35608.112,2377.05
2005-01-04 13:00,0.431111,0,0.247533,35839.488,2336.066
2005-01-04 14:00,0.292485,0,0.11934000000000002,36705.744,2295.082
2005-01-04 15:00,0.073923,0,0,37945.824,2459.016
