nodes,region1,region2,region1,region2,region1,region2,region1,region2
techs,demand_power,demand_power,demand_power,demand_power,demand_power,demand_power,demand_power,demand_power
parameters,sink_use_equals,sink_use_equals,sink_use_equals,sink_use_equals,sink_use_equals,sink_use_equals,sink_use_equals,sink_use_equals
investsteps,2020,2020,2030,2030,2040,2040,2050,2050
timesteps,,,,,,,,
2005-01-01 00:00,25284,2254,30341,2704,32869,2930,34134,3043
2005-01-01 01:00,24387,2131,29264,2557,31703,2770,32923,2877
2005-01-01 02:00,23730,2090,28476,2508,30849,2717,32036,2821
2005-01-01 03:00,23123,2131,27747,2557,30059,2770,31216,2877
2005-01-01 04:00,23119,27743,2606,30055,2823,31211,2932
2005-01-01 05:00,23683,2172,28419,2606,30788,2823,31972,2932
2005-01-01 06:00,24364,2213,29237,2655,31674,2877,32892,2987
2005-01-01 07:00,25249,2295,30299,2754,32824,2983,34087,3098
2005-01-01 08:00,26090,2459,31308,2950,33917,3196,35221,3319
2005-01-01 09:00,26870,2459,32244,2950,34931,3196,36275,3319
2005-01-01 10:00,27096,2418,32515,2901,35225,3143,36580,3264
2005-01-01 11:00,27001,2418,32401,2901,35102,3143,36452,3264
2005-01-01 12:00,27097,2377,32516,2852,35226,3090,36581,3209
2005-01-01 13:00,27438,2336,32925,2803,35669,3036,37041,3153
2005-01-01 14:00,28622,2295,34347,2754,37209,2983,38641,3098
2005-01-01 15:00,30166,2459,36199,2950,39216,3196,40724,3319
2005-01-01 16:00,31613,2909,37935,3491,41097,3782,42677,3928
2005-01-01 17:00,31965,2868,38358,3442,41554,3729,43153,3872
2005-01-01 18:00,31139,2786,37367,3344,40481,3622,42038,3762
2005-01-01 19:00,30229,2745,36275,3295,39298,3569,40809,3706
2005-01-01 20:00,29165,2622,34998,3147,37915,3409,39373,3540
2005-01-01 21:00,27508,2459,33010,2950,35761,3196,37136,3319
2005-01-01 22:00,26001,2254,31201,2704,33802,2930,35102,3043
2005-01-01 23:00,25050,2295,30060,2754,32565,2983,33818,3098
2005-01-02 00:00,24391,2254,29269,2704,31708,2930,32928,3043
2005-01-02 01:00,24143,2131,28972,2557,31387,2770,32594,2877
2005-01-02 02:00,24237,2090,29085,2508,31509,2717,32720,2821
2005-01-02 03:00,24841,2131,29810,2557,32294,2770,33536,2877
2005-01-02 04:00,26832,2172,32199,2606,34882,2823,36224,2932
2005-01-02 05:00,29293,35152,2606,38081,2823,39546,2932
2005-01-02 06:00,31062,2213,37274,2655,40381,2877,41934,2987
2005-01-02 07:00,32192,2295,38630,2754,41849,2983,43459,3098
2005-01-02 08:00,32969,2459,39563,2950,42860,3196,44508,3319
2005-01-02 09:00,33562,2459,40274,2950,43631,3196,45309,3319
2005-01-02 10:00,33535,2418,40242,2901,43596,3143,45272,3264
2005-01-02 11:00,33355,2418,40026,2901,43362,3143,45030,3264
2005-01-02 12:00,33234,2377,39880,2852,43204,3090,44866,3209
2005-01-02 13:00,33526,40231,43583,45260,3153
2005-01-02 14:00,34474,2295,41369,2754,44817,2983,46541,3098
2005-01-02 15:00,35769,2459,42923,2950,46499,3196,48288,3319
2005-01-02 16:00,36819,2909,44183,3491,47865,3782,49706,3928
2005-01-02 17:00,36838,2868,44205,3442,47889,3729,49731,3872
2005-01-02 18:00,35330,42396,3344,45929,3622,47696,3762
2005-01-02 19:00,33791,2745,40549,3295,43928,3569,45618,3706
