,per_area,per_cap
2005-01-01 00:00,0,0
2005-01-01 01:00,0,0
2005-01-01 02:00,0,0
2005-01-01 03:00,0,0
2005-01-01 04:00,0,0
2005-01-01 05:00,0,0
2005-01-01 06:00,0,0
2005-01-01 07:00,0,0
2005-01-01 08:00,0,0
2005-01-01 09:00,0.001571429,0.011000003
2005-01-01 10:00,0.002857143,0.020000001
2005-01-01 11:00,0.004,0.028
2005-01-01 12:00,0.003,0.021
2005-01-01 13:00,0.001428571,0.009999997
2005-01-01 14:00,0.000285714,0.001999998
2005-01-01 15:00,0,0
2005-01-01 16:00,0,0
2005-01-01 17:00,0,0
2005-01-01 18:00,0,0
2005-01-01 19:00,0,0
2005-01-01 20:00,0,0
2005-01-01 21:00,0,0
2005-01-01 22:00,0,0
2005-01-01 23:00,0,0
2005-01-02 00:00,0,0
2005-01-02 01:00,0,0
2005-01-02 02:00,0,0
2005-01-02 03:00,0,0
2005-01-02 04:00,0,0
2005-01-02 05:00,0,0
2005-01-02 06:00,0,0
2005-01-02 07:00,0,0
2005-01-02 08:00,0.001857143,0.013000001
2005-01-02 09:00,0.009714286,0.068000002
2005-01-02 10:00,0.016857143,0.118000001
2005-01-02 11:00,0.031285714,0.218999998
2005-01-02 12:00,0.052857143,0.370000001
2005-01-02 13:00,0.050857143,0.356000001
2005-01-02 14:00,0.026714286,0.187000002
2005-01-02 15:00,0.002714286,0.019000002
2005-01-02 16:00,0,0
2005-01-02 17:00,0,0
2005-01-02 18:00,0,0
2005-01-02 19:00,0,0
2005-01-02 20:00,0,0
2005-01-02 21:00,0,0
2005-01-02 22:00,0,0
2005-01-02 23:00,0,0
2005-01-03 00:00,0,0
2005-01-03 01:00,0,0
2005-01-03 02:00,0,0
2005-01-03 03:00,0,0
2005-01-03 04:00,0,0
2005-01-03 05:00,0,0
2005-01-03 06:00,0,0
2005-01-03 07:00,0,0
2005-01-03 08:00,0.001285714,0.008999998
2005-01-03 09:00,0.009571429,0.067000003
2005-01-03 10:00,0.018857143,0.132000001
2005-01-03 11:00,0.020714286,0.145000002
2005-01-03 12:00,0.014857143,0.104000001
2005-01-03 13:00,0.012285714,0.085999998
2005-01-03 14:00,0.006857143,0.048000001
2005-01-03 15:00,0.000714286,0.005000002
2005-01-03 16:00,0,0
2005-01-03 17:00,0,0
2005-01-03 18:00,0,0
2005-01-03 19:00,0,0
2005-01-03 20:00,0,0
2005-01-03 21:00,0,0
2005-01-03 22:00,0,0
2005-01-03 23:00,0,0
2005-01-04 00:00,0,0
2005-01-04 01:00,0,0
2005-01-04 02:00,0,0
2005-01-04 03:00,0,0
2005-01-04 04:00,0,0
2005-01-04 05:00,0,0
2005-01-04 06:00,0,0
2005-01-04 07:00,0,0
2005-01-04 08:00,0.000142857,0.000999999
2005-01-04 09:00,0.002142857,0.014999999
2005-01-04 10:00,0.005714286,0.040000002
2005-01-04 11:00,0.008285714,0.057999998
2005-01-04 12:00,0.007,0.049
2005-01-04 13:00,0.010285714,0.071999998
2005-01-04 14:00,0.005428571,0.037999997
2005-01-04 15:00,0.000142857,0.000999999
2005-01-04 16:00,0,0
2005-01-04 17:00,0,0
2005-01-04 18:00,0,0
2005-01-04 19:00,0,0
2005-01-04 20:00,0,0
2005-01-04 21:00,0,0
2005-01-04 22:00,0,0
2005-01-04 23:00,0,0
2005-01-05 00:00,0,0
2005-01-05 01:00,0,0
2005-01-05 02:00,0,0
2005-01-05 03:00,0,0
2005-01-05 04:00,0,0
2005-01-05 05:00,0,0
2005-01-05 06:00,0,0
2005-01-05 07:00,0,0
2005-01-05 08:00,0.000571429,0.004000003
2005-01-05 09:00,0.004142857,0.028999999
2005-01-05 10:00,0.005571429,0.039000003
2005-01-05 11:00,0.009714286,0.068000002
2005-01-05 12:00,0.010428571,0.072999997
2005-01-05 13:00,0.011428571,0.079999997
2005-01-05 14:00,0.007142857,0.049999999
2005-01-05 15:00,0.000285714,0.001999998
2005-01-05 16:00,0,0
2005-01-05 17:00,0,0
2005-01-05 18:00,0,0
2005-01-05 19:00,0,0
2005-01-05 20:00,0,0
2005-01-05 21:00,0,0
2005-01-05 22:00,0,0
2005-01-05 23:00,0,0
2005-01-06 00:00,0,0
2005-01-06 01:00,0,0
2005-01-06 02:00,0,0
2005-01-06 03:00,0,0
2005-01-06 04:00,0,0
2005-01-06 05:00,0,0
2005-01-06 06:00,0,0
2005-01-06 07:00,0,0
2005-01-06 08:00,0.005857143,0.041000001
2005-01-06 09:00,0.031714286,0.222000002
2005-01-06 10:00,0.054714286,0.383000002
2005-01-06 11:00,0.065428571,0.457999997
2005-01-06 12:00,0.062857143,0.440000001
2005-01-06 13:00,0.049428571,0.345999997
2005-01-06 14:00,0.026428571,0.184999997
2005-01-06 15:00,0.004285714,0.029999998
2005-01-06 16:00,0,0
2005-01-06 17:00,0,0
2005-01-06 18:00,0,0
2005-01-06 19:00,0,0
2005-01-06 20:00,0,0
2005-01-06 21:00,0,0
2005-01-06 22:00,0,0
2005-01-06 23:00,0,0
2005-01-07 00:00,0,0
2005-01-07 01:00,0,0
2005-01-07 02:00,0,0
2005-01-07 03:00,0,0
2005-01-07 04:00,0,0
2005-01-07 05:00,0,0
2005-01-07 06:00,0,0
2005-01-07 07:00,0,0
2005-01-07 08:00,0.000428571,0.002999997
2005-01-07 09:00,0.005857143,0.041000001
2005-01-07 10:00,0.011428571,0.079999997
2005-01-07 11:00,0.016285714,0.113999998
2005-01-07 12:00,0.022,0.154
2005-01-07 13:00,0.020571429,0.144000003
2005-01-07 14:00,0.009285714,0.064999998
2005-01-07 15:00,0.001428571,0.009999997
2005-01-07 16:00,0,0
2005-01-07 17:00,0,0
2005-01-07 18:00,0,0
2005-01-07 19:00,0,0
2005-01-07 20:00,0,0
2005-01-07 21:00,0,0
2005-01-07 22:00,0,0
2005-01-07 23:00,0,0
2005-01-08 00:00,0,0
2005-01-08 01:00,0,0
2005-01-08 02:00,0,0
2005-01-08 03:00,0,0
2005-01-08 04:00,0,0
2005-01-08 05:00,0,0
2005-01-08 06:00,0,0
2005-01-08 07:00,0,0
2005-01-08 08:00,0.000428571,0.002999997
2005-01-08 09:00,0.005714286,0.040000002
2005-01-08 10:00,0.016857143,0.118000001
2005-01-08 11:00,0.040571429,0.284000003
2005-01-08 12:00,0.054142857,0.378999999
2005-01-08 13:00,0.046571429,0.326000003
2005-01-08 14:00,0.020714286,0.145000002
2005-01-08 15:00,0.002,0.014
2005-01-08 16:00,0,0
2005-01-08 17:00,0,0
2005-01-08 18:00,0,0
2005-01-08 19:00,0,0
2005-01-08 20:00,0,0
2005-01-08 21:00,0,0
2005-01-08 22:00,0,0
2005-01-08 23:00,0,0
2005-01-09 00:00,0,0
2005-01-09 01:00,0,0
2005-01-09 02:00,0,0
2005-01-09 03:00,0,0
2005-01-09 04:00,0,0
2005-01-09 05:00,0,0
2005-01-09 06:00,0,0
2005-01-09 07:00,0,0
2005-01-09 08:00,0.001571429,0.011000003
2005-01-09 09:00,0.008857143,0.062000001
2005-01-09 10:00,0.014285714,0.099999998
2005-01-09 11:00,0.038428571,0.268999997
2005-01-09 12:00,0.060857143,0.426000001
2005-01-09 13:00,0.056142857,0.392999999
2005-01-09 14:00,0.026428571,0.184999997
2005-01-09 15:00,0.003571429,0.025000003
2005-01-09 16:00,0,0
2005-01-09 17:00,0,0
2005-01-09 18:00,0,0
2005-01-09 19:00,0,0
